RequestID,Boro,M,D,Yr,HH,Vol,SegmentID,street,fromSt,toSt,Direction
37077,Queens,1,9,2024,18,118,74363,GRAND AVENUE,72 Street,Mazeau Street,EB
37077,Queens,1,9,2024,19,82,74363,GRAND AVENUE,72 Street,Mazeau Street,EB
37077,Queens,1,9,2024,20,52,74363,GRAND AVENUE,72 Street,Mazeau Street,EB
37077,Queens,1,9,2024,21,51,74363,GRAND AVENUE,72 Street,Mazeau Street,EB
37077,Queens,1,9,2024,22,53,74363,GRAND AVENUE,72 Street,Mazeau Street,EB
37077,Queens,1,9,2024,23,26,74363,GRAND AVENUE,72 Street,Mazeau Street,EB
37077,Queens,1,10,2024,0,9,74363,GRAND AVENUE,72 Street,Mazeau Street,EB
37077,Queens,1,10,2024,1,10,74363,GRAND AVENUE,72 Street,Mazeau Street,EB
37077,Queens,1,10,2024,2,8,74363,GRAND AVENUE,72 Street,Mazeau Street,EB
37077,Queens,1,10,2024,3,8,74363,GRAND AVENUE,72 Street,Mazeau Street,EB
37077,Queens,1,10,2024,4,13,74363,GRAND AVENUE,72 Street,Mazeau Street,EB
37077,Queens,1,10,2024,5,15,74363,GRAND AVENUE,72 Street,Mazeau Street,EB
37077,Queens,1,10,2024,6,33,74363,GRAND AVENUE,72 Street,Mazeau Street,EB
37077,Queens,1,10,2024,7,60,74363,GRAND AVENUE,72 Street,Mazeau Street,EB
37077,Queens,1,10,2024,8,74,74363,GRAND AVENUE,72 Street,Mazeau Street,EB
37077,Queens,1,10,2024,9,55,74363,GRAND AVENUE,72 Street,Mazeau Street,EB
37077,Queens,1,10,2024,10,58,74363,GRAND AVENUE,72 Street,Mazeau Street,EB
37077,Queens,1,10,2024,11,56,74363,GRAND AVENUE,72 Street,Mazeau Street,EB
37077,Queens,1,10,2024,12,74,74363,GRAND AVENUE,72 Street,Mazeau Street,EB
37077,Queens,1,10,2024,13,76,74363,GRAND AVENUE,72 Street,Mazeau Street,EB
37077,Queens,1,10,2024,14,86,74363,GRAND AVENUE,72 Street,Mazeau Street,EB
37077,Queens,1,10,2024,15,114,74363,GRAND AVENUE,72 Street,Mazeau Street,EB
37077,Queens,1,10,2024,16,108,74363,GRAND AVENUE,72 Street,Mazeau Street,EB
37077,Queens,1,10,2024,17,111,74363,GRAND AVENUE,72 Street,Mazeau Street,EB
37077,Queens,1,10,2024,18,100,74363,GRAND AVENUE,72 Street,Mazeau Street,EB
37077,Queens,1,10,2024,19,72,74363,GRAND AVENUE,72 Street,Mazeau Street,EB
37160,Bronx,1,15,2024,17,53,70542,EAST 149 STREET,Jackson Avenue,Concord Avenue,EB
37160,Bronx,1,15,2024,18,57,70542,EAST 149 STREET,Jackson Avenue,Concord Avenue,EB
37160,Bronx,1,15,2024,19,42,70542,EAST 149 STREET,Jackson Avenue,Concord Avenue,EB
37160,Bronx,1,15,2024,20,28,70542,EAST 149 STREET,Jackson Avenue,Concord Avenue,EB
37160,Bronx,1,15,2024,21,33,70542,EAST 149 STREET,Jackson Avenue,Concord Avenue,EB
37160,Bronx,1,15,2024,22,22,70542,EAST 149 STREET,Jackson Avenue,Concord Avenue,EB
37160,Bronx,1,15,2024,23,25,70542,EAST 149 STREET,Jackson Avenue,Concord Avenue,EB
37160,Bronx,1,16,2024,0,11,70542,EAST 149 STREET,Jackson Avenue,Concord Avenue,EB
