"MONTH","BOROUGH","COMMUNITYDISTRICT","REFUSETONSCOLLECTED","PAPERTONSCOLLECTED","MGPTONSCOLLECTED","RESORGANICSTONS","SCHOOLORGANICTONS","LEAVESORGANICTONS","XMASTREETONS","OTHERORGANICSTONS","BOROUGH_ID"
"2026 / 02","Bronx","01","2879.8","200.3","109.8","16.2","55.7",,,,"2"
"2026 / 02","Bronx","02","6520.9","224.2","154.8","13.4","55.7",,,,"2"
"2026 / 02","Bronx","03","1971.3","107.5","116.1","12.8",,,,,"2"
"2026 / 02","Bronx","04","3610.0","199.9","226.5","11.9","42.7",,,"0.5","2"
"2026 / 02","Bronx","05","3085.9","185.3","246.1","12.1","49.4",,,,"2"
"2026 / 02","Bronx","06","2692.7","147.4","137.5","9.5","38.8",,,,"2"
"2026 / 02","Bronx","07","3332.2","238.8","328.0","25.2","38.1",,,,"2"
"2026 / 02","Bronx","08","1953.3","241.6","296.2","80.8",,,,,"2"
"2026 / 02","Bronx","09","3147.4","171.9","285.7","61.0","43.8",,,,"2"
"2026 / 02","Bronx","10","1994.3","221.2","257.3","77.1",,,,,"2"
"2026 / 02","Bronx","11","2564.4","228.1","252.1","70.2","64.2",,,,"2"
"2026 / 02","Bronx","12","3027.7","264.2","410.0","131.3",,,,,"2"
"2026 / 02","Brooklyn","01","5707.8","636.8","374.6","70.2","30.9",,,,"3"
"2026 / 02","Brooklyn","02","2711.4","493.7","370.0","103.5","45.6",,,,"3"
"2026 / 02","Brooklyn","03","4117.7","358.4","262.8","78.7","37.0",,,"6.8","3"
"2026 / 02","Brooklyn","04","3606.6","276.8","281.7","58.9","55.9",,,"0.6","3"
"2026 / 02","Brooklyn","05","4077.3","193.6","348.0","64.8",,,,,"3"
"2026 / 02","Brooklyn","06","1952.8","423.8","315.9","119.5","57.1",,,,"3"
"2026 / 02","Brooklyn","07","2736.6","311.2","294.1","90.2",,,,,"3"
"2026 / 02","Brooklyn","08","5064.6","263.4","224.2","58.1","39.3",,,"10.5","3"
"2026 / 02","Brooklyn","09","2707.8","226.8","195.4","39.8","28.8",,,,"3"
"2026 / 02","Brooklyn","10","3223.9","340.8","343.0","71.1","0.7",,,,"3"
"2026 / 02","Brooklyn","11","6634.1","425.6","446.6","254.7","70.6",,,,"3"
"2026 / 02","Brooklyn","12","6281.2","583.4","271.1","55.4","62.3",,,,"3"
"2026 / 02","Brooklyn","13","2311.1","222.5","183.0","46.9","8.0",,,,"3"
"2026 / 02","Brooklyn","14","4238.8","379.9","319.6","77.1","143.1",,,,"3"
"2026 / 02","Brooklyn","15","3979.5","408.1","411.3","137.4",,,,,"3"
"2026 / 02","Brooklyn","16","2485.8","92.8","121.8","28.6",,,,,"3"
"2026 / 02","Brooklyn","17","3598.8","224.2","312.9","75.5",,,,,"3"
"2026 / 02","Brooklyn","18","4161.3","393.9","463.9","108.8","54.4",,,,"3"
"2026 / 02","Manhattan","01","1463.8","332.7","218.6","19.0",,,,,"1"
"2026 / 02","Manhattan","02","1919.1","354.1","238.6","33.9","23.4",,,"6.0","1"
"2026 / 02","Manhattan","03","5316.7","402.3","281.7","33.4","28.4",,,,"1"
"2026 / 02","Manhattan","04","2944.3","578.0","305.2","50.1",,,,"2.0","1"
"2026 / 02","Manhattan","05","1471.3","219.9","149.3","17.9",,,,,"1"
"2026 / 02","Manhattan","06","2848.1","603.0","324.5","50.0",,,,,"1"
"2026 / 02","Manhattan","07","3911.6","844.9","608.7","205.3","28.6",,,,"1"
"2026 / 02","Manhattan","08","5035.1","880.7","637.3","128.9",,,,"10.4","1"
"2026 / 02","Manhattan","09","1930.0","236.3","186.6","41.9","61.7",,,,"1"
"2026 / 02","Manhattan","10","5034.6","225.9","204.8","30.8","44.2",,,,"1"
"2026 / 02","Manhattan","11","2135.8","193.8","144.8","18.8",,,,"3.4","1"
"2026 / 02","Manhattan","12","4192.1","376.3","371.1","60.3","38.1",,,,"1"
"2026 / 02","Queens","01","3392.4","505.3","526.8","138.6","84.2",,,"6.3","4"
"2026 / 02","Queens","02","3367.5","515.7","379.4","133.9","138.2",,,"9.5","4"
"2026 / 02","Queens","03","3785.4","259.2","417.0","109.9",,,,,"4"
"2026 / 02","Queens","04","3446.3","301.0","404.4","100.6",,,,,"4"
"2026 / 02","Queens","05","3573.8","446.9","534.2","172.1","93.0",,,,"4"
"2026 / 02","Queens","06","2171.4","306.6","303.3","100.4",,,,,"4"
"2026 / 02","Queens","07","7004.8","755.6","613.9","157.6","66.5",,,,"4"
"2026 / 02","Queens","08","2919.4","341.0","328.9","109.3",,,,,"4"
"2026 / 02","Queens","09","3054.4","339.1","403.0","160.1","92.5",,,,"4"
"2026 / 02","Queens","10","2670.2","253.5","412.0","85.1","62.4",,,,"4"
"2026 / 02","Queens","11","1975.5","324.9","323.1","161.7","54.8",,,,"4"
"2026 / 02","Queens","12","5202.2","365.2","716.9","186.6","58.3",,,,"4"
"2026 / 02","Queens","13","3516.6","307.8","584.3","143.7","46.1",,,,"4"
"2026 / 02","Queens","14","2779.8","208.1","173.8","57.1",,,,,"4"
"2026 / 02","Staten Island","01","3985.2","490.2","511.2","100.7",,,,,"5"
"2026 / 02","Staten Island","02","3616.2","404.0","401.5","142.0","22.9",,,"3.5","5"
"2026 / 02","Staten Island","03","3956.9","517.2","512.1","146.2","27.8",,,,"5"
"2026 / 01","Bronx","01","3111.3","199.6","100.4","22.4","70.7",,,,"2"
"2026 / 01","Bronx","02","7255.7","200.5","216.8","16.2","89.5",,,,"2"
"2026 / 01","Bronx","03","2162.0","95.0","102.3","14.7",,,,,"2"
"2026 / 01","Bronx","04","3924.5","184.3","223.0","16.3","63.5",,,"0.2","2"
"2026 / 01","Bronx","05","3388.6","179.6","236.9","14.4","64.6",,,,"2"
"2026 / 01","Bronx","06","3049.7","146.8","126.0","10.9","51.0",,,,"2"
"2026 / 01","Bronx","07","3660.3","238.0","339.7","38.4","45.1",,,,"2"
"2026 / 01","Bronx","08","2241.2","230.8","269.2","119.9",,,,,"2"
"2026 / 01","Bronx","09","3418.9","195.8","312.8","89.5","56.1",,,,"2"
"2026 / 01","Bronx","10","2241.4","235.5","279.3","113.3",,,,,"2"
"2026 / 01","Bronx","11","2841.9","230.6","255.1","98.3","85.0",,,,"2"
"2026 / 01","Bronx","12","3304.8","256.2","438.4","175.5",,,,,"2"
